time,wind_speed_100m,wind_speed_10m,temperature_2m,wind_direction_100m,surface_pressure
2025-02-01 00:00:00,1.23,1.01,-8.1,212,966.7
2025-02-01 01:00:00,0.79,0.85,-8.8,198,966.7
2025-02-01 02:00:00,0.43,0.8,-9.4,201,966.5
2025-02-01 03:00:00,0.2,0.6,-8.5,180,967.1
2025-02-01 04:00:00,0.47,0.7,-7.3,148,967.8
2025-02-01 05:00:00,1.06,0.49,-2.0,139,969.5
2025-02-01 06:00:00,1.54,1.12,-0.9,119,969.3
2025-02-01 07:00:00,2.25,1.71,-0.6,107,968.9
2025-02-01 08:00:00,2.67,2.09,0.1,103,968.5
2025-02-01 09:00:00,3.25,2.32,0.1,100,968.1
2025-02-01 10:00:00,4.54,2.46,-4.3,117,967.9
2025-02-01 11:00:00,5.01,2.39,-5.5,107,967.6
2025-02-01 12:00:00,5.87,2.6,-6.1,94,967.4
2025-02-01 13:00:00,6.61,2.84,-6.7,93,967.4
2025-02-01 14:00:00,6.92,3.08,-9.3,94,966.9
2025-02-01 15:00:00,7.07,3.22,-9.1,94,966.9
2025-02-01 16:00:00,7.08,3.36,-8.7,95,967.0
2025-02-01 17:00:00,6.87,3.21,-8.5,95,966.5
2025-02-01 18:00:00,6.54,3.04,-8.3,97,966.6
2025-02-01 19:00:00,6.08,2.76,-8.6,99,966.1
2025-02-01 20:00:00,5.61,2.38,-9.1,101,965.6
2025-02-01 21:00:00,5.17,2.12,-9.8,99,965.3
2025-02-01 22:00:00,5.12,2.07,-10.7,107,965.7
2025-02-01 23:00:00,5.07,2.04,-11.3,96,965.0
2025-02-02 00:00:00,5.2,2.0,-12.0,91,964.8
2025-02-02 01:00:00,4.87,1.82,-12.3,99,964.8
2025-02-02 02:00:00,4.46,1.77,-12.5,110,964.8
2025-02-02 03:00:00,4.12,1.71,-12.0,114,965.1
2025-02-02 04:00:00,3.76,1.71,-10.3,109,965.5
2025-02-02 05:00:00,3.61,1.91,-4.3,104,966.9
2025-02-02 06:00:00,3.46,2.06,-4.0,110,967.2
2025-02-02 07:00:00,3.21,2.03,-4.4,121,966.7
2025-02-02 08:00:00,2.98,1.9,-2.5,130,966.5
2025-02-02 09:00:00,2.73,1.61,-2.6,139,966.0
2025-02-02 10:00:00,2.59,1.43,-6.6,131,965.3
2025-02-02 11:00:00,2.48,1.49,-7.6,99,965.1
2025-02-02 12:00:00,3.0,1.5,-8.4,93,965.2
2025-02-02 13:00:00,3.13,1.5,-8.5,103,965.2
2025-02-02 14:00:00,3.13,1.49,-11.7,110,964.3
2025-02-02 15:00:00,3.11,1.41,-12.6,109,964.1
2025-02-02 16:00:00,3.04,1.25,-12.7,104,963.9
2025-02-02 17:00:00,3.17,1.21,-13.0,102,963.7
2025-02-02 18:00:00,3.24,1.19,-12.6,103,963.8
2025-02-02 19:00:00,3.48,1.28,-12.3,102,963.7
2025-02-02 20:00:00,3.76,1.42,-13.0,100,963.0
2025-02-02 21:00:00,4.09,1.6,-13.0,102,962.8
2025-02-02 22:00:00,4.45,1.93,-14.2,102,962.5
2025-02-02 23:00:00,4.85,2.02,-13.6,91,962.5
2025-02-03 00:00:00,5.55,2.18,-13.2,89,962.8
2025-02-03 01:00:00,5.59,2.2,-13.0,97,962.9
2025-02-03 02:00:00,5.41,2.26,-12.0,104,963.1
2025-02-03 03:00:00,5.3,2.34,-11.3,104,963.5
2025-02-03 04:00:00,5.1,2.38,-9.1,101,963.8
2025-02-03 05:00:00,5.1,2.69,-5.0,101,964.5
2025-02-03 06:00:00,5.21,3.07,-3.7,102,964.6
2025-02-03 07:00:00,5.42,3.15,-3.3,102,963.6
2025-02-03 08:00:00,5.61,3.18,-2.0,101,963.3
2025-02-03 09:00:00,5.58,3.03,-2.6,102,962.3
2025-02-03 10:00:00,5.6,2.95,-4.0,107,961.7
2025-02-03 11:00:00,5.54,2.65,-5.4,103,961.1
2025-02-03 12:00:00,5.84,2.53,-6.4,97,960.6
2025-02-03 13:00:00,6.05,2.46,-6.4,97,960.6
2025-02-03 14:00:00,6.15,2.48,-8.7,97,959.5
2025-02-03 15:00:00,6.22,2.51,-8.2,98,959.1
2025-02-03 16:00:00,6.37,2.66,-8.1,99,958.5
2025-02-03 17:00:00,6.85,2.95,-9.2,97,957.4
2025-02-03 18:00:00,7.5,3.29,-9.0,97,957.1
2025-02-03 19:00:00,7.83,3.47,-8.8,98,956.6
2025-02-03 20:00:00,7.81,3.47,-9.0,100,956.0
2025-02-03 21:00:00,7.62,3.36,-9.1,100,955.6
2025-02-03 22:00:00,6.78,3.12,-8.6,105,956.1
2025-02-03 23:00:00,6.99,3.24,-9.0,96,955.2
2025-02-04 00:00:00,7.3,3.22,-9.5,99,955.2
2025-02-04 01:00:00,7.0,3.0,-9.7,100,955.0
2025-02-04 02:00:00,6.89,2.86,-8.8,103,955.1
2025-02-04 03:00:00,6.63,2.77,-7.8,105,955.1
2025-02-04 04:00:00,6.25,2.73,-7.4,106,955.5
2025-02-04 05:00:00,5.65,2.8,-2.1,107,956.5
2025-02-04 06:00:00,4.91,2.76,-1.9,112,956.4
2025-02-04 07:00:00,3.93,2.28,-1.9,112,956.0
2025-02-04 08:00:00,2.9,1.64,-0.6,105,956.0
2025-02-04 09:00:00,1.9,1.25,-1.0,125,955.6
2025-02-04 10:00:00,1.61,1.36,-2.9,187,956.0
2025-02-04 11:00:00,1.55,2.08,-4.4,237,955.6
2025-02-04 12:00:00,2.28,2.56,-6.3,247,956.1
2025-02-04 13:00:00,2.83,2.32,-6.0,249,956.5
2025-02-04 14:00:00,2.55,2.04,-8.9,250,956.3
2025-02-04 15:00:00,1.97,1.55,-9.7,243,956.3
2025-02-04 16:00:00,0.89,1.05,-10.6,218,956.0
2025-02-04 17:00:00,0.78,0.71,-12.1,130,955.7
2025-02-04 18:00:00,1.49,0.84,-12.1,110,955.9
2025-02-04 19:00:00,2.26,1.03,-12.2,108,955.8
2025-02-04 20:00:00,2.89,1.19,-13.0,104,955.0
2025-02-04 21:00:00,3.46,1.39,-12.9,101,955.1
2025-02-04 22:00:00,4.16,1.75,-13.2,106,955.3
2025-02-04 23:00:00,4.8,1.91,-13.3,92,955.1
2025-02-05 00:00:00,5.56,2.12,-12.5,93,955.6
2025-02-05 01:00:00,5.34,2.02,-12.6,103,956.0
2025-02-05 02:00:00,4.6,1.77,-11.8,107,956.4
2025-02-05 03:00:00,4.12,1.66,-10.1,100,957.1
2025-02-05 04:00:00,4.02,1.77,-8.1,96,957.6
2025-02-05 05:00:00,3.59,1.87,-3.3,98,958.6
2025-02-05 06:00:00,3.39,1.91,-2.6,106,958.5
2025-02-05 07:00:00,3.24,1.92,-2.2,110,958.1
2025-02-05 08:00:00,2.9,1.72,-0.6,111,957.7
2025-02-05 09:00:00,2.35,1.3,-0.1,102,957.6
2025-02-05 10:00:00,2.89,1.7,-3.2,118,957.0
2025-02-05 11:00:00,2.66,1.98,-3.0,110,957.4
2025-02-05 12:00:00,2.25,1.52,-4.4,94,957.1
2025-02-05 13:00:00,1.8,1.01,-5.4,88,957.3
2025-02-05 14:00:00,1.3,0.86,-9.3,92,956.8
2025-02-05 15:00:00,0.85,1.1,-10.5,118,956.8
2025-02-05 16:00:00,0.71,1.3,-10.6,141,956.9
2025-02-05 17:00:00,0.76,1.2,-10.6,148,957.3
2025-02-05 18:00:00,0.96,0.81,-10.9,129,957.3
2025-02-05 19:00:00,1.5,0.89,-11.4,116,957.3
2025-02-05 20:00:00,2.1,1.06,-12.1,108,956.7
2025-02-05 21:00:00,2.55,1.22,-11.7,106,956.8
2025-02-05 22:00:00,3.69,1.91,-12.4,111,957.6
2025-02-05 23:00:00,4.32,2.11,-12.6,106,957.4
2025-02-06 00:00:00,5.52,2.34,-11.8,95,957.6
2025-02-06 01:00:00,6.12,2.49,-11.9,95,958.1
2025-02-06 02:00:00,6.25,2.6,-10.6,97,958.4
2025-02-06 03:00:00,5.99,2.58,-8.3,100,959.1
2025-02-06 04:00:00,5.67,2.68,-6.9,102,959.6
2025-02-06 05:00:00,5.24,2.78,-1.7,105,960.2
2025-02-06 06:00:00,4.95,2.8,-0.1,106,960.2
2025-02-06 07:00:00,4.67,2.8,0.4,103,959.9
2025-02-06 08:00:00,4.43,2.64,2.0,104,959.5
2025-02-06 09:00:00,4.13,2.33,1.9,109,959.0
2025-02-06 10:00:00,4.51,2.39,-1.3,103,958.2
2025-02-06 11:00:00,4.87,2.32,-2.4,100,958.2
2025-02-06 12:00:00,4.58,2.36,-4.0,104,957.7
2025-02-06 13:00:00,4.23,1.98,-4.5,104,957.7
2025-02-06 14:00:00,3.84,1.59,-7.2,98,957.4
2025-02-06 15:00:00,3.66,1.49,-7.0,100,957.2
2025-02-06 16:00:00,3.53,1.39,-7.5,97,956.9
2025-02-06 17:00:00,3.63,1.39,-8.2,98,956.4
2025-02-06 18:00:00,3.89,1.43,-7.9,98,956.2
2025-02-06 19:00:00,4.09,1.5,-8.2,98,955.9
2025-02-06 20:00:00,4.28,1.57,-8.5,97,955.4
2025-02-06 21:00:00,4.47,1.68,-8.9,100,955.2
2025-02-06 22:00:00,4.74,1.88,-9.2,97,955.6
2025-02-06 23:00:00,5.59,2.33,-9.2,97,955.4
2025-02-07 00:00:00,5.7,2.37,-9.2,103,955.5
2025-02-07 01:00:00,5.23,2.12,-9.1,103,955.8
2025-02-07 02:00:00,4.97,1.92,-8.4,95,956.3
2025-02-07 03:00:00,4.66,1.77,-6.9,93,956.8
2025-02-07 04:00:00,4.52,1.88,-5.4,95,957.4
2025-02-07 05:00:00,4.27,2.21,-0.2,100,958.1
2025-02-07 06:00:00,4.34,2.42,1.0,102,958.1
2025-02-07 07:00:00,4.26,2.4,1.6,99,957.0
2025-02-07 08:00:00,4.39,2.46,3.3,98,956.7
2025-02-07 09:00:00,4.64,2.55,3.4,97,956.1
2025-02-07 10:00:00,5.12,2.72,0.4,100,955.3
2025-02-07 11:00:00,4.9,2.26,-0.4,98,954.8
2025-02-07 12:00:00,5.0,2.44,-1.2,92,954.8
2025-02-07 13:00:00,4.86,2.15,-1.1,94,955.0
2025-02-07 14:00:00,4.15,1.95,-5.1,99,953.9
2025-02-07 15:00:00,3.37,1.82,-5.7,97,953.8
2025-02-07 16:00:00,3.25,1.68,-6.0,91,953.5
2025-02-07 17:00:00,3.26,1.3,-7.5,94,953.0
2025-02-07 18:00:00,3.13,1.16,-7.5,97,952.7
2025-02-07 19:00:00,3.14,1.21,-7.7,99,952.6
2025-02-07 20:00:00,3.33,1.27,-8.9,98,951.9
2025-02-07 21:00:00,3.51,1.37,-9.3,101,951.6
2025-02-07 22:00:00,3.47,1.48,-9.7,102,952.0
2025-02-07 23:00:00,3.85,1.59,-9.8,99,952.0
2025-02-08 00:00:00,4.37,1.69,-10.1,95,952.5
2025-02-08 01:00:00,4.14,1.55,-9.9,98,953.2
2025-02-08 02:00:00,3.46,1.36,-9.2,101,953.5
2025-02-08 03:00:00,3.29,1.36,-7.9,99,954.4
